JID,JCR_Abbrev,Journal Name,Policy,Year_policy,All_Fields
82,CIRC-GENOM PRECIS ME,Circulation-Genomic and Precision Medicine,1,2019.0,CARDIAC & CARDIOVASCULAR SYSTEMS; GENETICS & HEREDITY
85,CANCER GENE THER,CANCER GENE THERAPY,1,2013.0,"BIOTECHNOLOGY & APPLIED MICROBIOLOGY; GENETICS & HEREDITY; MEDICINE, RESEARCH & EXPERIMENTAL; ONCOLOGY"
88,PLOS GENET,PLoS Genetics,1,2017.0,GENETICS & HEREDITY
91,GENE THER,GENE THERAPY,1,2013.0,"BIOCHEMISTRY & MOLECULAR BIOLOGY; BIOTECHNOLOGY & APPLIED MICROBIOLOGY; GENETICS & HEREDITY; MEDICINE, RESEARCH & EXPERIMENTAL"
94,NAT IMMUNOL,NATURE IMMUNOLOGY,1,2013.0,IMMUNOLOGY
97,CELL MOL IMMUNOL,Cellular & Molecular Immunology,1,2013.0,IMMUNOLOGY
100,CANCER IMMUNOL RES,Cancer Immunology Research,1,2016.0,IMMUNOLOGY; ONCOLOGY
103,NPJ VACCINES,npj Vaccines,1,2013.0,"IMMUNOLOGY; MEDICINE, RESEARCH & EXPERIMENTAL"
106,MUCOSAL IMMUNOL,Mucosal Immunology,1,2013.0,IMMUNOLOGY
109,CLIN TRANSL IMMUNOL,Clinical & Translational Immunology,1,2021.0,IMMUNOLOGY
112,BONE MARROW TRANSPL,BONE MARROW TRANSPLANTATION,1,2013.0,HEMATOLOGY; IMMUNOLOGY; ONCOLOGY; TRANSPLANTATION
115,NAT NEUROSCI,NATURE NEUROSCIENCE,1,2013.0,NEUROSCIENCES
118,NAT HUM BEHAV,Nature Human Behaviour,1,2013.0,"MULTIDISCIPLINARY SCIENCES; NEUROSCIENCES; PSYCHOLOGY, EXPERIMENTAL"
121,NPJ PARKINSONS DIS,npj Parkinsons Disease,1,2013.0,NEUROSCIENCES
124,CANCER DISCOV,Cancer Discovery,1,2016.0,ONCOLOGY
127,CANCER RES,CANCER RESEARCH,1,2016.0,ONCOLOGY
130,CLIN CANCER RES,CLINICAL CANCER RESEARCH,1,2016.0,ONCOLOGY
133,LEUKEMIA,LEUKEMIA,1,2013.0,HEMATOLOGY; ONCOLOGY
136,BLOOD CANCER J,Blood Cancer Journal,1,2013.0,HEMATOLOGY; ONCOLOGY
139,NPJ PRECIS ONCOL,npj Precision Oncology,1,2013.0,ONCOLOGY
142,BRIT J CANCER,BRITISH JOURNAL OF CANCER,1,2013.0,ONCOLOGY
145,ONCOGENESIS,Oncogenesis,1,2013.0,ONCOLOGY
148,NPJ BREAST CANCER,npj Breast Cancer,1,2013.0,ONCOLOGY
151,CANCER-AM CANCER SOC,CANCER,1,2018.0,ONCOLOGY
154,BONE JOINT RES,Bone & Joint Research,1,2021.0,CELL & TISSUE ENGINEERING; ORTHOPEDICS
157,BRIT J PHARMACOL,BRITISH JOURNAL OF PHARMACOLOGY,1,2017.0,PHARMACOLOGY & PHARMACY
160,ACTA PHARMACOL SIN,ACTA PHARMACOLOGICA SINICA,1,2013.0,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY"
163,AM J PHYSIOL-LUNG C,AMERICAN JOURNAL OF PHYSIOLOGY-LUNG CELLULAR AND MOLECULAR PHYSIOLOGY,1,2017.0,PHYSIOLOGY; RESPIRATORY SYSTEM
166,J PHYSIOL-LONDON,JOURNAL OF PHYSIOLOGY-LONDON,1,2019.0,NEUROSCIENCES; PHYSIOLOGY
169,J GEN PHYSIOL,General Physiology,1,2021.0,PHYSIOLOGY
172,AM J PHYSIOL-HEART C,AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,1,2017.0,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; PHYSIOLOGY
175,AM J PHYSIOL-ENDOC M,AMERICAN JOURNAL OF PHYSIOLOGY-ENDOCRINOLOGY AND METABOLISM,1,2017.0,ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
178,AM J PHYSIOL-CELL PH,AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY,1,2017.0,CELL BIOLOGY; PHYSIOLOGY
181,AM J PHYSIOL-GASTR L,AMERICAN JOURNAL OF PHYSIOLOGY-GASTROINTESTINAL AND LIVER PHYSIOLOGY,1,2017.0,GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY
184,AM J PHYSIOL-REG I,AMERICAN JOURNAL OF PHYSIOLOGY-REGULATORY INTEGRATIVE AND COMPARATIVE PHYSIOLOGY,1,2017.0,PHYSIOLOGY
187,J APPL PHYSIOL,JOURNAL OF APPLIED PHYSIOLOGY,1,2017.0,PHYSIOLOGY; SPORT SCIENCES
190,AM J PHYSIOL-RENAL,AMERICAN JOURNAL OF PHYSIOLOGY-RENAL PHYSIOLOGY,1,2017.0,PHYSIOLOGY; UROLOGY & NEPHROLOGY
193,PHYSIOL GENOMICS,PHYSIOLOGICAL GENOMICS,1,2017.0,CELL BIOLOGY; GENETICS & HEREDITY; PHYSIOLOGY
196,EXP PHYSIOL,EXPERIMENTAL PHYSIOLOGY,1,2021.0,PHYSIOLOGY
199,J NEUROPHYSIOL,JOURNAL OF NEUROPHYSIOLOGY,1,2017.0,NEUROSCIENCES; PHYSIOLOGY
202,ARTHRITIS RHEUMATOL,Arthritis & Rheumatology,1,2020.0,RHEUMATOLOGY
205,J RHEUMATOL,JOURNAL OF RHEUMATOLOGY,1,2019.0,RHEUMATOLOGY
208,KIDNEY INT,KIDNEY INTERNATIONAL,1,2018.0,UROLOGY & NEPHROLOGY
211,PROSTATE CANCER P D,PROSTATE CANCER AND PROSTATIC DISEASES,1,2013.0,ONCOLOGY; UROLOGY & NEPHROLOGY
