JID,JCR_Abbrev,Journal Name,Policy,Year_policy,All_Fields
24,CLIN RES CARDIOL,Clinical Research in Cardiology,0,,CARDIAC & CARDIOVASCULAR SYSTEMS
25,CIRC-CARDIOVASC QUAL,Circulation-Cardiovascular Quality and Outcomes,1,2019.0,CARDIAC & CARDIOVASCULAR SYSTEMS
26,ANN THORAC SURG,ANNALS OF THORACIC SURGERY,0,,CARDIAC & CARDIOVASCULAR SYSTEMS; RESPIRATORY SYSTEM; SURGERY
27,J GERIATR CARDIOL,Journal of Geriatric Cardiology,0,,CARDIAC & CARDIOVASCULAR SYSTEMS; GERIATRICS & GERONTOLOGY
28,J AM HEART ASSOC,Journal of the American Heart Association,1,2019.0,CARDIAC & CARDIOVASCULAR SYSTEMS
29,CAN J CARDIOL,CANADIAN JOURNAL OF CARDIOLOGY,0,,CARDIAC & CARDIOVASCULAR SYSTEMS
30,AM J CARDIOVASC DRUG,American Journal of Cardiovascular Drugs,0,,CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY
31,J MOL CELL CARDIOL,JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,1,2021.0,CARDIAC & CARDIOVASCULAR SYSTEMS; CELL BIOLOGY
32,NUTR METAB CARDIOVAS,NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES,0,,CARDIAC & CARDIOVASCULAR SYSTEMS; ENDOCRINOLOGY & METABOLISM; NUTRITION & DIETETICS
33,ATHEROSCLEROSIS,ATHEROSCLEROSIS,0,,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
34,BRAIN,BRAIN,1,2013.0,CLINICAL NEUROLOGY; NEUROSCIENCES
35,MOVEMENT DISORD,MOVEMENT DISORDERS,0,,CLINICAL NEUROLOGY
36,NEURO-ONCOLOGY,NEURO-ONCOLOGY,0,,CLINICAL NEUROLOGY; ONCOLOGY
37,STROKE,STROKE,1,2019.0,CLINICAL NEUROLOGY; PERIPHERAL VASCULAR DISEASE
38,NEUROPATH APPL NEURO,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY,0,,CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY
39,NEUROTHERAPEUTICS,Neurotherapeutics,0,,CLINICAL NEUROLOGY; NEUROSCIENCES; PHARMACOLOGY & PHARMACY
40,NAT METAB,Nature Metabolism,1,2013.0,ENDOCRINOLOGY & METABOLISM
41,CELL METAB,Cell Metabolism,0,,CELL BIOLOGY; ENDOCRINOLOGY & METABOLISM
42,DIABETES CARE,DIABETES CARE,0,,ENDOCRINOLOGY & METABOLISM
43,DIABETOLOGIA,DIABETOLOGIA,1,2018.0,ENDOCRINOLOGY & METABOLISM
44,J PINEAL RES,JOURNAL OF PINEAL RESEARCH,0,,ENDOCRINOLOGY & METABOLISM; NEUROSCIENCES; PHYSIOLOGY
45,CARDIOVASC DIABETOL,Cardiovascular Diabetology,0,,CARDIAC & CARDIOVASCULAR SYSTEMS; ENDOCRINOLOGY & METABOLISM
46,DIABETES,DIABETES,1,2017.0,ENDOCRINOLOGY & METABOLISM
47,METABOLISM,METABOLISM-CLINICAL AND EXPERIMENTAL,0,,ENDOCRINOLOGY & METABOLISM
48,DIABETES OBES METAB,DIABETES OBESITY & METABOLISM,0,,ENDOCRINOLOGY & METABOLISM
49,ANTIOXID REDOX SIGN,ANTIOXIDANTS & REDOX SIGNALING,1,2020.0,BIOCHEMISTRY & MOLECULAR BIOLOGY; ENDOCRINOLOGY & METABOLISM
50,MOL METAB,Molecular Metabolism,0,,ENDOCRINOLOGY & METABOLISM
51,FREE RADICAL BIO MED,FREE RADICAL BIOLOGY AND MEDICINE,0,,BIOCHEMISTRY & MOLECULAR BIOLOGY; ENDOCRINOLOGY & METABOLISM
52,J BONE MINER RES,JOURNAL OF BONE AND MINERAL RESEARCH,1,2019.0,ENDOCRINOLOGY & METABOLISM
53,EUR J ENDOCRINOL,EUROPEAN JOURNAL OF ENDOCRINOLOGY,0,,ENDOCRINOLOGY & METABOLISM
54,THYROID,THYROID,0,,ENDOCRINOLOGY & METABOLISM
55,J CEREBR BLOOD F MET,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM,1,2018.0,ENDOCRINOLOGY & METABOLISM; HEMATOLOGY; NEUROSCIENCES
56,DIABETES TECHNOL THE,Diabetes Technology & Therapeutics,0,,ENDOCRINOLOGY & METABOLISM
57,BIOFACTORS,BIOFACTORS,0,,BIOCHEMISTRY & MOLECULAR BIOLOGY; ENDOCRINOLOGY & METABOLISM
58,J MOL ENDOCRINOL,JOURNAL OF MOLECULAR ENDOCRINOLOGY,1,2020.0,ENDOCRINOLOGY & METABOLISM
59,FRONT ENDOCRINOL,Frontiers in Endocrinology,0,,ENDOCRINOLOGY & METABOLISM
60,ENDOCRINOLOGY,ENDOCRINOLOGY,0,,ENDOCRINOLOGY & METABOLISM
61,NUTR DIABETES,Nutrition & Diabetes,1,2013.0,ENDOCRINOLOGY & METABOLISM; NUTRITION & DIETETICS
62,DIABETES-METAB RES,DIABETES-METABOLISM RESEARCH AND REVIEWS,0,,ENDOCRINOLOGY & METABOLISM
63,DIABETES METAB J,Diabetes & Metabolism Journal,0,,ENDOCRINOLOGY & METABOLISM
64,INT J OBESITY,INTERNATIONAL JOURNAL OF OBESITY,1,2013.0,ENDOCRINOLOGY & METABOLISM; NUTRITION & DIETETICS
65,DIABETES RES CLIN PR,DIABETES RESEARCH AND CLINICAL PRACTICE,0,,ENDOCRINOLOGY & METABOLISM
66,OBESITY,Obesity,0,,ENDOCRINOLOGY & METABOLISM; NUTRITION & DIETETICS
67,NAT GENET,NATURE GENETICS,1,2013.0,GENETICS & HEREDITY
68,MOL BIOL EVOL,MOLECULAR BIOLOGY AND EVOLUTION,0,,BIOCHEMISTRY & MOLECULAR BIOLOGY; EVOLUTIONARY BIOLOGY; GENETICS & HEREDITY
69,GENOME BIOL,GENOME BIOLOGY,0,,BIOTECHNOLOGY & APPLIED MICROBIOLOGY; GENETICS & HEREDITY
70,ONCOGENE,ONCOGENE,1,2013.0,BIOCHEMISTRY & MOLECULAR BIOLOGY; CELL BIOLOGY; GENETICS & HEREDITY; ONCOLOGY
71,MOL THER,MOLECULAR THERAPY,0,,"BIOTECHNOLOGY & APPLIED MICROBIOLOGY; GENETICS & HEREDITY; MEDICINE, RESEARCH & EXPERIMENTAL"
72,GENE DEV,GENES & DEVELOPMENT,0,,CELL BIOLOGY; DEVELOPMENTAL BIOLOGY; GENETICS & HEREDITY
73,GENET MED,GENETICS IN MEDICINE,1,2013.0,GENETICS & HEREDITY
74,GENOME MED,Genome Medicine,0,,GENETICS & HEREDITY
75,AM J HUM GENET,AMERICAN JOURNAL OF HUMAN GENETICS,0,,GENETICS & HEREDITY
76,NPJ GENOM MED,npj Genomic Medicine,1,2013.0,GENETICS & HEREDITY
77,GENOME RES,GENOME RESEARCH,0,,BIOCHEMISTRY & MOLECULAR BIOLOGY; BIOTECHNOLOGY & APPLIED MICROBIOLOGY; GENETICS & HEREDITY
78,MOL AUTISM,Molecular Autism,0,,GENETICS & HEREDITY; NEUROSCIENCES
79,HORTIC RES-ENGLAND,Horticulture Research,1,2013.0,GENETICS & HEREDITY; HORTICULTURE; PLANT SCIENCES
80,GENES DIS,Genes & Diseases,0,,BIOCHEMISTRY & MOLECULAR BIOLOGY; GENETICS & HEREDITY
81,CLIN EPIGENETICS,Clinical Epigenetics,0,,GENETICS & HEREDITY; ONCOLOGY
82,CIRC-GENOM PRECIS ME,Circulation-Genomic and Precision Medicine,1,2019.0,CARDIAC & CARDIOVASCULAR SYSTEMS; GENETICS & HEREDITY
83,J MED GENET,JOURNAL OF MEDICAL GENETICS,0,,GENETICS & HEREDITY
84,HUM MOL GENET,HUMAN MOLECULAR GENETICS,0,,BIOCHEMISTRY & MOLECULAR BIOLOGY; GENETICS & HEREDITY
85,CANCER GENE THER,CANCER GENE THERAPY,1,2013.0,"BIOTECHNOLOGY & APPLIED MICROBIOLOGY; GENETICS & HEREDITY; MEDICINE, RESEARCH & EXPERIMENTAL; ONCOLOGY"
86,GENES NUTR,Genes and Nutrition,0,,GENETICS & HEREDITY; NUTRITION & DIETETICS
87,GENOMICS,GENOMICS,0,,BIOTECHNOLOGY & APPLIED MICROBIOLOGY; GENETICS & HEREDITY
88,PLOS GENET,PLoS Genetics,1,2017.0,GENETICS & HEREDITY
89,THEOR APPL GENET,THEORETICAL AND APPLIED GENETICS,0,,AGRONOMY; GENETICS & HEREDITY; HORTICULTURE; PLANT SCIENCES
90,HUM GENE THER,HUMAN GENE THERAPY,0,,"BIOTECHNOLOGY & APPLIED MICROBIOLOGY; GENETICS & HEREDITY; MEDICINE, RESEARCH & EXPERIMENTAL"
91,GENE THER,GENE THERAPY,1,2013.0,"BIOCHEMISTRY & MOLECULAR BIOLOGY; BIOTECHNOLOGY & APPLIED MICROBIOLOGY; GENETICS & HEREDITY; MEDICINE, RESEARCH & EXPERIMENTAL"
92,CHROMOSOME RES,CHROMOSOME RESEARCH,0,,BIOCHEMISTRY & MOLECULAR BIOLOGY; GENETICS & HEREDITY
93,MICROB GENOMICS,Microbial Genomics,0,,GENETICS & HEREDITY; MICROBIOLOGY
94,NAT IMMUNOL,NATURE IMMUNOLOGY,1,2013.0,IMMUNOLOGY
95,IMMUNITY,IMMUNITY,0,,IMMUNOLOGY
96,J EXP MED,JOURNAL OF EXPERIMENTAL MEDICINE,0,,"IMMUNOLOGY; MEDICINE, RESEARCH & EXPERIMENTAL"
97,CELL MOL IMMUNOL,Cellular & Molecular Immunology,1,2013.0,IMMUNOLOGY
98,LANCET HIV,Lancet HIV,0,,IMMUNOLOGY; INFECTIOUS DISEASES
99,J ALLERGY CLIN IMMUN,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,0,,ALLERGY; IMMUNOLOGY
100,CANCER IMMUNOL RES,Cancer Immunology Research,1,2016.0,IMMUNOLOGY; ONCOLOGY
101,CLIN INFECT DIS,CLINICAL INFECTIOUS DISEASES,0,,IMMUNOLOGY; INFECTIOUS DISEASES; MICROBIOLOGY
102,J ALLER CL IMM-PRACT,Journal of Allergy and Clinical Immunology-In Practice,0,,ALLERGY; IMMUNOLOGY
103,NPJ VACCINES,npj Vaccines,1,2013.0,"IMMUNOLOGY; MEDICINE, RESEARCH & EXPERIMENTAL"
104,IMMUNOLOGY,IMMUNOLOGY,0,,IMMUNOLOGY
105,J INNATE IMMUN,Journal of Innate Immunity,0,,IMMUNOLOGY
106,MUCOSAL IMMUNOL,Mucosal Immunology,1,2013.0,IMMUNOLOGY
107,J CLIN IMMUNOL,JOURNAL OF CLINICAL IMMUNOLOGY,0,,IMMUNOLOGY
108,FRONT IMMUNOL,Frontiers in Immunology,0,,IMMUNOLOGY
109,CLIN TRANSL IMMUNOL,Clinical & Translational Immunology,1,2021.0,IMMUNOLOGY
110,J AUTOIMMUN,JOURNAL OF AUTOIMMUNITY,0,,IMMUNOLOGY
111,VIRULENCE,Virulence,0,,IMMUNOLOGY; INFECTIOUS DISEASES; MICROBIOLOGY
112,BONE MARROW TRANSPL,BONE MARROW TRANSPLANTATION,1,2013.0,HEMATOLOGY; IMMUNOLOGY; ONCOLOGY; TRANSPLANTATION
113,J IMMUNOL,JOURNAL OF IMMUNOLOGY,0,,IMMUNOLOGY
114,,BIOLOGY OF BLOOD AND MARROW TRANSPLANTATION,0,,HEMATOLOGY; TRANSPLANTATION; IMMUNOLOGY
115,NAT NEUROSCI,NATURE NEUROSCIENCE,1,2013.0,NEUROSCIENCES
116,NEURON,NEURON,0,,NEUROSCIENCES
117,ACTA NEUROPATHOL,ACTA NEUROPATHOLOGICA,0,,CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY
118,NAT HUM BEHAV,Nature Human Behaviour,1,2013.0,"MULTIDISCIPLINARY SCIENCES; NEUROSCIENCES; PSYCHOLOGY, EXPERIMENTAL"
119,MOL PSYCHIATR,MOLECULAR PSYCHIATRY,0,,BIOCHEMISTRY & MOLECULAR BIOLOGY; NEUROSCIENCES; PSYCHIATRY
120,MOL NEURODEGENER,Molecular Neurodegeneration,0,,NEUROSCIENCES
121,NPJ PARKINSONS DIS,npj Parkinsons Disease,1,2013.0,NEUROSCIENCES
122,ANN NEUROL,ANNALS OF NEUROLOGY,0,,CLINICAL NEUROLOGY; NEUROSCIENCES
123,J NEUROINFLAMM,Journal of Neuroinflammation,0,,IMMUNOLOGY; NEUROSCIENCES
124,CANCER DISCOV,Cancer Discovery,1,2016.0,ONCOLOGY
125,CANCER CELL,CANCER CELL,0,,CELL BIOLOGY; ONCOLOGY
126,ANN ONCOL,ANNALS OF ONCOLOGY,0,,ONCOLOGY
127,CANCER RES,CANCER RESEARCH,1,2016.0,ONCOLOGY
128,J IMMUNOTHER CANCER,Journal for ImmunoTherapy of Cancer,0,,IMMUNOLOGY; ONCOLOGY
129,MOL CANCER,Molecular Cancer,0,,BIOCHEMISTRY & MOLECULAR BIOLOGY; ONCOLOGY
130,CLIN CANCER RES,CLINICAL CANCER RESEARCH,1,2016.0,ONCOLOGY
131,JNCI-J NATL CANCER I,JNCI-Journal of the National Cancer Institute,0,,ONCOLOGY
132,J THORAC ONCOL,Journal of Thoracic Oncology,0,,ONCOLOGY; RESPIRATORY SYSTEM
133,LEUKEMIA,LEUKEMIA,1,2013.0,HEMATOLOGY; ONCOLOGY
134,LIVER CANCER,Liver Cancer,0,,GASTROENTEROLOGY & HEPATOLOGY; ONCOLOGY
135,CLIN TRANSL MED,Clinical and Translational Medicine,0,,"MEDICINE, RESEARCH & EXPERIMENTAL; ONCOLOGY"
136,BLOOD CANCER J,Blood Cancer Journal,1,2013.0,HEMATOLOGY; ONCOLOGY
137,CANCER COMMUN,Cancer Communications,0,,ONCOLOGY
138,J HEMATOL ONCOL,Journal of Hematology & Oncology,0,,HEMATOLOGY; ONCOLOGY
139,NPJ PRECIS ONCOL,npj Precision Oncology,1,2013.0,ONCOLOGY
140,THER ADV MED ONCOL,Therapeutic Advances in Medical Oncology,0,,ONCOLOGY
141,ONCOIMMUNOLOGY,OncoImmunology,0,,IMMUNOLOGY; ONCOLOGY
142,BRIT J CANCER,BRITISH JOURNAL OF CANCER,1,2013.0,ONCOLOGY
143,EUR J CANCER,EUROPEAN JOURNAL OF CANCER,0,,ONCOLOGY
144,INT J CANCER,INTERNATIONAL JOURNAL OF CANCER,0,,ONCOLOGY
145,ONCOGENESIS,Oncogenesis,1,2013.0,ONCOLOGY
146,GASTRIC CANCER,Gastric Cancer,0,,GASTROENTEROLOGY & HEPATOLOGY; ONCOLOGY
147,J EXP CLIN CANC RES,JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH,0,,ONCOLOGY
148,NPJ BREAST CANCER,npj Breast Cancer,1,2013.0,ONCOLOGY
149,INT J RADIAT ONCOL,INTERNATIONAL JOURNAL OF RADIATION ONCOLOGY BIOLOGY PHYSICS,0,,"ONCOLOGY; RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
150,CANCER IMMUNOL IMMUN,CANCER IMMUNOLOGY IMMUNOTHERAPY,0,,IMMUNOLOGY; ONCOLOGY
151,CANCER-AM CANCER SOC,CANCER,1,2018.0,ONCOLOGY
152,CANCER SCI,CANCER SCIENCE,0,,ONCOLOGY
153,MOL THER ONCOLYTICS,Molecular Therapy-Oncolytics,0,,"ONCOLOGY; MEDICINE, RESEARCH & EXPERIMENTAL"
154,BONE JOINT RES,Bone & Joint Research,1,2021.0,CELL & TISSUE ENGINEERING; ORTHOPEDICS
155,BONE JOINT J,Bone & Joint Journal,0,,ORTHOPEDICS; SURGERY
156,J ORTHOP TRANSL,Journal of Orthopaedic Translation,0,,ORTHOPEDICS
157,BRIT J PHARMACOL,BRITISH JOURNAL OF PHARMACOLOGY,1,2017.0,PHARMACOLOGY & PHARMACY
158,J CONTROL RELEASE,JOURNAL OF CONTROLLED RELEASE,0,,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY"
159,ALIMENT PHARM THER,ALIMENTARY PHARMACOLOGY & THERAPEUTICS,0,,GASTROENTEROLOGY & HEPATOLOGY; PHARMACOLOGY & PHARMACY
160,ACTA PHARMACOL SIN,ACTA PHARMACOLOGICA SINICA,1,2013.0,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY"
161,PHARMACEUTICS,Pharmaceutics,0,,PHARMACOLOGY & PHARMACY
162,J FOOD DRUG ANAL,JOURNAL OF FOOD AND DRUG ANALYSIS,0,,FOOD SCIENCE & TECHNOLOGY; PHARMACOLOGY & PHARMACY
163,AM J PHYSIOL-LUNG C,AMERICAN JOURNAL OF PHYSIOLOGY-LUNG CELLULAR AND MOLECULAR PHYSIOLOGY,1,2017.0,PHYSIOLOGY; RESPIRATORY SYSTEM
164,INT J BEHAV NUTR PHY,International Journal of Behavioral Nutrition and Physical Activity,0,,NUTRITION & DIETETICS; PHYSIOLOGY
165,ACTA PHYSIOL,Acta Physiologica,0,,PHYSIOLOGY
166,J PHYSIOL-LONDON,JOURNAL OF PHYSIOLOGY-LONDON,1,2019.0,NEUROSCIENCES; PHYSIOLOGY
167,FRONT PHYSIOL,Frontiers in Physiology,0,,PHYSIOLOGY
168,J PHYSIOL BIOCHEM,JOURNAL OF PHYSIOLOGY AND BIOCHEMISTRY,0,,BIOCHEMISTRY & MOLECULAR BIOLOGY; PHYSIOLOGY
169,J GEN PHYSIOL,General Physiology,1,2021.0,PHYSIOLOGY
170,ARCH PHYSIOL BIOCHEM,ARCHIVES OF PHYSIOLOGY AND BIOCHEMISTRY,0,,ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
171,J PHYSIOL PHARMACOL,JOURNAL OF PHYSIOLOGY AND PHARMACOLOGY,0,,PHYSIOLOGY
172,AM J PHYSIOL-HEART C,AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,1,2017.0,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; PHYSIOLOGY
173,J ELECTROMYOGR KINES,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,0,,NEUROSCIENCES; PHYSIOLOGY; REHABILITATION; SPORT SCIENCES
174,J PHYSIOL SCI,Journal of Physiological Sciences,0,,PHYSIOLOGY
175,AM J PHYSIOL-ENDOC M,AMERICAN JOURNAL OF PHYSIOLOGY-ENDOCRINOLOGY AND METABOLISM,1,2017.0,ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
176,J MAMMARY GLAND BIOL,JOURNAL OF MAMMARY GLAND BIOLOGY AND NEOPLASIA,0,,ENDOCRINOLOGY & METABOLISM; ONCOLOGY; PHYSIOLOGY
177,PFLUG ARCH EUR J PHY,PFLUGERS ARCHIV-EUROPEAN JOURNAL OF PHYSIOLOGY,0,,PHYSIOLOGY
178,AM J PHYSIOL-CELL PH,AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY,1,2017.0,CELL BIOLOGY; PHYSIOLOGY
179,PESTIC BIOCHEM PHYS,PESTICIDE BIOCHEMISTRY AND PHYSIOLOGY,0,,BIOCHEMISTRY & MOLECULAR BIOLOGY; ENTOMOLOGY; PHYSIOLOGY
180,PSYCHOPHYSIOLOGY,PSYCHOPHYSIOLOGY,0,,"NEUROSCIENCES; PHYSIOLOGY; PSYCHOLOGY; PSYCHOLOGY, BIOLOGICAL; PSYCHOLOGY, EXPERIMENTAL"
181,AM J PHYSIOL-GASTR L,AMERICAN JOURNAL OF PHYSIOLOGY-GASTROINTESTINAL AND LIVER PHYSIOLOGY,1,2017.0,GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY
182,LYMPHAT RES BIOL,Lymphatic Research and Biology,0,,"MEDICINE, RESEARCH & EXPERIMENTAL; PHYSIOLOGY"
183,PHYSIOL MEAS,PHYSIOLOGICAL MEASUREMENT,0,,"BIOPHYSICS; ENGINEERING, BIOMEDICAL; PHYSIOLOGY"
184,AM J PHYSIOL-REG I,AMERICAN JOURNAL OF PHYSIOLOGY-REGULATORY INTEGRATIVE AND COMPARATIVE PHYSIOLOGY,1,2017.0,PHYSIOLOGY
185,NEUROPHYSIOL CLIN,NEUROPHYSIOLOGIE CLINIQUE-CLINICAL NEUROPHYSIOLOGY,0,,CLINICAL NEUROLOGY; NEUROSCIENCES; PHYSIOLOGY
186,EUR J APPL PHYSIOL,EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY,0,,PHYSIOLOGY; SPORT SCIENCES
187,J APPL PHYSIOL,JOURNAL OF APPLIED PHYSIOLOGY,1,2017.0,PHYSIOLOGY; SPORT SCIENCES
188,COMP BIOCHEM PHYS A,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY,0,,BIOCHEMISTRY & MOLECULAR BIOLOGY; PHYSIOLOGY; ZOOLOGY
189,INT J PSYCHOPHYSIOL,INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY,0,,"NEUROSCIENCES; PHYSIOLOGY; PSYCHOLOGY; PSYCHOLOGY, BIOLOGICAL; PSYCHOLOGY, EXPERIMENTAL"
190,AM J PHYSIOL-RENAL,AMERICAN JOURNAL OF PHYSIOLOGY-RENAL PHYSIOLOGY,1,2017.0,PHYSIOLOGY; UROLOGY & NEPHROLOGY
191,J BIOL RHYTHM,JOURNAL OF BIOLOGICAL RHYTHMS,0,,BIOLOGY; PHYSIOLOGY
192,KIDNEY BLOOD PRESS R,KIDNEY & BLOOD PRESSURE RESEARCH,0,,PERIPHERAL VASCULAR DISEASE; PHYSIOLOGY; UROLOGY & NEPHROLOGY
193,PHYSIOL GENOMICS,PHYSIOLOGICAL GENOMICS,1,2017.0,CELL BIOLOGY; GENETICS & HEREDITY; PHYSIOLOGY
194,CONSERV PHYSIOL,Conservation Physiology,0,,BIODIVERSITY CONSERVATION; ECOLOGY; ENVIRONMENTAL SCIENCES; PHYSIOLOGY
195,J PHYSIOL ANTHROPOL,Journal of Physiological Anthropology,0,,PHYSIOLOGY
196,EXP PHYSIOL,EXPERIMENTAL PHYSIOLOGY,1,2021.0,PHYSIOLOGY
197,CHRONOBIOL INT,CHRONOBIOLOGY INTERNATIONAL,0,,BIOLOGY; PHYSIOLOGY
198,PHYSIOL RES,PHYSIOLOGICAL RESEARCH,0,,PHYSIOLOGY
199,J NEUROPHYSIOL,JOURNAL OF NEUROPHYSIOLOGY,1,2017.0,NEUROSCIENCES; PHYSIOLOGY
200,CLIN EXP PHARMACOL P,CLINICAL AND EXPERIMENTAL PHARMACOLOGY AND PHYSIOLOGY,0,,PHARMACOLOGY & PHARMACY; PHYSIOLOGY
201,CLIN PHYSIOL FUNCT I,CLINICAL PHYSIOLOGY AND FUNCTIONAL IMAGING,0,,PHYSIOLOGY
202,ARTHRITIS RHEUMATOL,Arthritis & Rheumatology,1,2020.0,RHEUMATOLOGY
203,LANCET RHEUMATOL,Lancet Rheumatology,0,,RHEUMATOLOGY
204,RHEUMATOLOGY,RHEUMATOLOGY,0,,RHEUMATOLOGY
205,J RHEUMATOL,JOURNAL OF RHEUMATOLOGY,1,2019.0,RHEUMATOLOGY
206,ARTHRITIS RES THER,Arthritis Research & Therapy,0,,RHEUMATOLOGY
207,SCAND J RHEUMATOL,SCANDINAVIAN JOURNAL OF RHEUMATOLOGY,0,,RHEUMATOLOGY
208,KIDNEY INT,KIDNEY INTERNATIONAL,1,2018.0,UROLOGY & NEPHROLOGY
209,EUR UROL,EUROPEAN UROLOGY,0,,UROLOGY & NEPHROLOGY
210,AGING MALE,Aging Male,0,,ENDOCRINOLOGY & METABOLISM; UROLOGY & NEPHROLOGY
211,PROSTATE CANCER P D,PROSTATE CANCER AND PROSTATIC DISEASES,1,2013.0,ONCOLOGY; UROLOGY & NEPHROLOGY
212,EUR UROL ONCOL,European Urology Oncology,0,,ONCOLOGY; UROLOGY & NEPHROLOGY
213,WORLD J MENS HEALTH,World Journal of Mens Health,0,,ANDROLOGY; UROLOGY & NEPHROLOGY
